protocol,size,usage_side,ts,rss,cpu,perf_base_ns,epoch_base_ns
rest_proto,10000,client,38501653432958,21692416,1.6,38483960646000,1747489199054361000
rest_proto,10000,client,38501654719041,21704704,2.5,38483960646000,1747489199054361000
rest_proto,10000,client,38501656011625,21704704,1.9,38483960646000,1747489199054361000
rest_proto,10000,client,38501657298125,21766144,3.5,38483960646000,1747489199054361000
rest_proto,10000,client,38501658583666,21958656,2.5,38483960646000,1747489199054361000
rest_proto,10000,client,38501659872750,22081536,1.3,38483960646000,1747489199054361000
rest_proto,10000,client,38501661159791,22224896,1.8,38483960646000,1747489199054361000
rest_proto,10000,client,38501662447666,22528000,2.6,38483960646000,1747489199054361000
rest_proto,10000,client,38501663733666,22679552,2.0,38483960646000,1747489199054361000
rest_proto,10000,client,38501665023458,23019520,1.9,38483960646000,1747489199054361000
rest_proto,10000,client,38501666310375,23441408,2.1,38483960646000,1747489199054361000
rest_proto,10000,client,38501667599083,23609344,1.4,38483960646000,1747489199054361000
rest_proto,10000,client,38501668886416,24195072,2.4,38483960646000,1747489199054361000
rest_proto,10000,client,38501670173333,24399872,2.4,38483960646000,1747489199054361000
rest_proto,10000,client,38501671495750,24576000,2.4,38483960646000,1747489199054361000
rest_proto,10000,client,38501672579458,24711168,2.3,38483960646000,1747489199054361000
rest_proto,10000,client,38501673870416,24952832,2.5,38483960646000,1747489199054361000
rest_proto,10000,client,38501675158708,25149440,1.9,38483960646000,1747489199054361000
rest_proto,10000,client,38501676446458,25305088,1.5,38483960646000,1747489199054361000
rest_proto,10000,client,38501677738208,25530368,1.9,38483960646000,1747489199054361000
rest_proto,10000,client,38501679032500,25866240,2.1,38483960646000,1747489199054361000
rest_proto,10000,client,38501680320833,26144768,2.7,38483960646000,1747489199054361000
rest_proto,10000,client,38501681607416,26210304,1.8,38483960646000,1747489199054361000
rest_proto,10000,client,38501682893750,26308608,2.5,38483960646000,1747489199054361000
rest_proto,10000,client,38501684180500,26456064,2.4,38483960646000,1747489199054361000
rest_proto,10000,client,38501685467125,26689536,2.4,38483960646000,1747489199054361000
rest_proto,10000,client,38501686754000,26824704,2.3,38483960646000,1747489199054361000
rest_proto,10000,client,38501688041583,27144192,2.5,38483960646000,1747489199054361000
